frame,id,cx,cy,w,h
150,100,429.0,64.0,13.0,14.0
150,0,632.0,116.0,32.0,106.0
150,1,148.9803924560547,247.1585693359375,103.82283020019531,62.51554870605469
150,2,449.0616149902344,184.73985290527344,26.176372528076172,46.820377349853516
151,100,432.0,41.0,14.0,15.0
151,0,632.0,116.0,32.0,106.0
151,1,148.86134338378906,247.49459838867188,103.23675537109375,63.86931610107422
151,2,449.1509094238281,185.37306213378906,26.575363159179688,46.337764739990234
152,100,431.0,10.0,14.0,13.0
152,0,632.0,116.0,32.0,106.0
152,1,148.41244506835938,248.12452697753906,101.6565170288086,67.2983169555664
152,2,449.1808776855469,185.5855255126953,26.7092342376709,46.17583465576172
153,100,139.0,287.0,29.0,8.0
153,0,632.0,116.0,32.0,106.0
153,1,147.3860321044922,248.89309692382812,99.14663696289062,73.06793975830078
153,2,448.8818359375,188.2453155517578,28.588191986083984,43.894432067871094
154,100,144.0,290.0,5.0,4.0
154,0,632.0,116.0,32.0,106.0
154,1,145.9256591796875,249.5161895751953,96.3077621459961,79.14557647705078
154,2,448.1836853027344,191.21066284179688,30.629966735839844,41.11660385131836
155,100,114.0,320.0,16.0,16.0
155,0,632.0,116.0,32.0,106.0
155,1,144.1180877685547,249.8817138671875,94.07844543457031,83.96583557128906
155,2,446.8436584472656,193.90110778808594,32.48414993286133,38.76837921142578
156,100,84.0,350.0,16.0,16.0
156,0,632.0,116.0,32.0,106.0
156,1,142.3439483642578,249.8728790283203,92.23924255371094,86.71568298339844
156,2,445.2795104980469,195.9083251953125,33.982521057128906,36.98250198364258
157,100,54.0,380.0,16.0,16.0
157,0,632.0,116.0,32.0,106.0
157,1,141.25779724121094,249.7442169189453,91.18949890136719,87.91980743408203
157,2,444.2091369628906,197.09542846679688,34.88556671142578,35.924922943115234
158,100,24.0,410.0,16.0,16.0
158,0,632.0,116.0,32.0,106.0
158,1,140.24453735351562,249.49026489257812,90.68323516845703,88.1232681274414
158,2,443.13873291015625,197.9540557861328,35.29877853393555,35.58794021606445
159,100,-6.0,440.0,16.0,16.0
159,0,632.0,116.0,32.0,106.0
159,1,138.9529571533203,248.7130584716797,90.6171875,87.62480926513672
159,2,442.20855712890625,199.47845458984375,36.33888244628906,34.34053421020508
160,100,-36.0,470.0,16.0,16.0
160,0,632.0,116.0,32.0,106.0
160,1,138.0240478515625,247.821044921875,90.49739837646484,86.79246520996094
160,2,441.24346923828125,199.27195739746094,35.36406707763672,35.28036880493164
161,100,390.0,1.0,14.0,4.0
161,0,632.0,116.0,32.0,106.0
161,1,137.65609741210938,247.0203857421875,90.49119567871094,85.83195495605469
161,2,440.7057800292969,199.34410095214844,34.892696380615234,35.82844543457031
162,100,420.0,-29.0,16.0,16.0
