frame,id,cx,cy,w,h
414,100,525,97,8,8
415,100,534,86,8,5
416,100,623,203,16,15
417,100,626,187,17,16
418,100,627,171,18,15
419,100,627,157,18,13
420,100,622,143,18,13
421,100,622,143,18,13
422,100,608,118,19,13
423,100,600,106,19,11
424,100,596,98,19,10
425,100,594,100,20,10
426,100,589,103,17,11
427,100,588,103,17,11
428,100,589,101,18,11
429,100,591,99,17,10
430,100,592,96,17,10
431,100,593,94,17,10
432,100,592,93,16,10
433,100,591,95,17,10
434,100,590,99,19,10
435,100,590,106,17,10
436,100,591,117,17,14
437,100,591,128,17,14
438,100,595,131,17,13
439,100,595,131,17,13
440,100,598,127,17,12
441,100,610,109,19,10
442,100,615,96,21,8
443,100,622,84,20,8
444,100,628,73,20,8
445,100,635,65,21,9
446,100,642,62,22,9
447,100,652,61,22,9
448,100,658,65,23,8
449,100,662,73,25,9
450,100,667,83,23,9
451,100,668,94,22,8
452,100,670,107,21,9
453,100,670,121,22,10
454,100,669,136,21,11
455,100,667,150,21,12
456,100,663,165,18,12
457,100,660,177,18,13
458,100,660,178,18,13
459,100,657,190,17,13
460,100,654,212,18,15
461,100,649,223,15,15
462,100,637,230,7,5
463,100,635,229,6,4
464,100,535,134,6,10
465,100,519,129,16,16
466,100,529,116,16,16
467,100,539,104,12,11
468,100,532,122,11,15
469,100,522,105,16,16
470,100,514,98,16,16
471,100,507,92,16,16
472,100,499,85,16,16
473,100,491,78,16,16
474,100,484,72,16,16
475,100,653,220,14,10
476,100,660,214,15,17
477,100,660,214,15,16
478,100,670,190,18,13
479,100,674,177,17,12
480,100,676,164,18,11
481,100,677,149,18,11
482,100,680,131,17,9
483,100,680,115,14,4
484,100,679,97,18,7
485,100,678,81,19,8
486,100,677,64,17,8
487,100,679,46,12,8
488,100,679,29,11,8
489,100,676,16,12,7
490,100,674,6,13,8
491,100,666,3,20,9
492,100,661,2,17,7
493,100,657,3,20,10
494,100,651,12,16,9
495,100,644,22,15,11
496,100,644,22,16,11
